"mz","rt","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","rtinmgf","mz_ms2","int_ms2","CE"
237.9560469,349.128,47880.98095,37535.36195,38919.70926,237.95542,348,193.9655,6741,15
329.9825275,348.309,50825.19,48345.51412,45800.96006,329.98176,348,267.982,7582,30
370.1224146,356.0185,37092.984,23320.57535,44236.96846,370.12126,355,221.1065,7924,45
414.1465383,358.819,82441.75537,40259.73188,103535.2086,414.14833,357,221.1084,24676,45
163.1324243,360.748,29592.745,29986.97761,29376.3155,163.13254,361,89.062,3378,15
176.0698283,362.408,43279.07206,42236.79281,49490.59111,176.07007,361,130.0649,47182,30
416.1910444,366.552,8783.679059,59938.79895,59535.333,416.19264,368,159.1165,2574,30
363.1432839,366.558,31554.67811,32043.43795,34405.69426,363.14415,367,159.1178,1893,30
326.0953682,393.867,18535.76853,15947.72406,11406.44467,326.09706,393,207.0909,1578,30
242.1296891,394.77,28010.02969,29212.38888,22478.48333,242.13061,394,168.0581,14039,30
372.1552762,403.009,599625.6344,111496.6775,110842.986,372.15939,402,176.0816,126964,30
286.2003216,408.746,63940.871,133109.7811,181225.0599,286.2021,408,85.0309,77708,30
296.1214993,412.839,160735.5686,142646.2736,103851.4135,296.12228,412,210.037,46489,30
354.1224493,417.744,203822.276,89741.19153,189489.9855,354.12732,417,253.0794,117775,30
287.2034664,408.746,107770.8826,89972.50389,91944.44661,287.20444,419,228.1309,1255,15
340.1487798,429.194,58891.36382,51379.40335,46891.56882,340.14808,428,253.0789,7433,30
398.1525148,435.803,289604.5863,109322.7571,94773.634,398.1539,435,253.0795,141608,30
384.171421,440.693,265868.0222,291956.7833,124919.3626,384.17382,440,253.0793,93184,30
190.0858304,439.873,27547.275,28352.923,25395.0885,190.0856,440,130.0655,13036,30
464.1921211,446.483,189988.3925,80166.55316,303401.1961,464.1912,445,288.1595,17324,30
312.2173314,445.593,39430.54088,36250.80735,35161.10118,312.21623,445,85.0301,3072,30
205.1238101,454.632,105646.6849,97012.68444,96041.78879,205.12205,453,163.0751,31577,15
240.1584769,454.632,26865.8975,47934.23222,74878.80068,240.15927,453,205.1231,25900,15
347.2209306,453.802,29011.03954,29065.26761,30342.28161,347.22047,452,329.2093,1007,15
558.2904903,453.802,50801.92728,50192.91978,52115.86528,558.29142,453,347.2214,2830,30
159.1161009,454.632,41074.4035,9626.803333,19003.73521,159.11654,454,117.0697,2981,30
222.1480753,454.632,21092.04176,19804.25222,20825.80668,222.14925,454,205.1221,1254,15
211.0952233,461.262,51910.45411,53915.60833,48025.11,211.09617,461,193.0863,27531,15
300.2163043,460.483,37727.001,32808.19846,25598.13744,300.21686,459,85.0306,4298,30
193.0845776,461.262,32544.513,34104.00517,40045.775,193.08571,461,165.0927,5695,15
233.0906537,462.092,26926.16867,26107.42117,25913.85947,233.09178,462,215.0809,13369,15
363.2168792,467.4715,66427.81406,248229.7815,128898.2088,363.21645,466,121.0649,8444,30
254.1364773,467.061,58434.44338,57515.44182,67932.74528,254.13854,466,219.1005,2095,15
191.1058212,467.062,15900.20763,11552.61343,15527.25563,191.10597,467,117.0702,2949,30
219.1011669,467.0185,17382.687,20127.38867,18635.23783,219.10132,466,155.0856,1847,30
224.2124281,471.935,78507.73847,59287.92778,57587.18037,224.21215,471,142.1351,2039,30
310.1998678,474.415,297381.6521,144477.9427,160991.9722,310.20181,474,85.0305,28008,30
325.1703322,475.7415,32370.47934,29217.29475,28501.20338,325.17157,475,310.2016,3148,15
288.2142243,481.93,79097.25416,213585.2028,115674.013,288.21721,482,85.0304,74965,30
311.2042755,474.4435,56104.04122,52979.34947,60580.16172,311.20477,481,288.2182,5121,15
315.1340543,505.303,14162.7225,21488.37333,15486.08188,315.13446,505,255.1137,3910,30
253.0971769,507.499,12826.03636,18286.36875,15762.56733,253.0982,506,182.0975,8619,30
546.2545296,509.979,51675.78125,54980.94117,46695.93056,546.25485,509,197.0812,3828,30
302.2325648,518.339,73145.17978,86952.74254,63001.73074,302.23312,517,85.0301,8081,30
264.1350931,531.467,27898.1892,27177.86057,23969.336,264.13526,531,151.0764,6559.4888,30
585.2586269,553.006,266585.693,234001.2488,175326.342,585.26829,551,568.2455,2521,15
314.2318485,560.556,96204.29156,77907.1129,82445.03355,314.23242,561,85.0311,22399,30
201.0460798,558.58,31238.18033,25962.30492,23448.00167,201.04595,556,165.0704,40657,45
345.1337956,558.58,68125.84477,47109.41393,39073.66,345.13605,557,201.0464,121185,15
181.0849672,564.37,28102.5602,20727.04314,19118.679,181.08545,564,163.0758,2491,15
223.0951506,564.37,17538.99247,17450.96843,10500.12879,223.09594,564,181.0859,76555,15
149.0246398,579.825,87702.4008,117046.8896,63017.57084,149.023,579,65.0423,41404,30
432.3103888,593.1315,26135.08138,20202.37253,22040.60923,432.30836,592,414.3,19275,15
414.3001816,593.158,37217.82556,25883.835,27544.1875,414.29892,592,339.2683,1412,30
466.3153082,599.833,59682.781,24948.07324,32934.31094,466.31482,598,430.2966,15132,15
158.1528499,599.814,40507.38267,22956.8596,24260.97468,158.15384,598,141.0018,16624,15
430.294348,599.811,29953.61,14304.39983,8425.059353,430.29229,598,412.2846,11273,15
319.2575193,609.327,95917.533,94562.34993,79022.42918,319.26589,606,85.0307,26720,30
316.2452705,609.327,36274.252,124228.0663,83831.82733,316.24733,607,85.0304,74207,30
320.2719147,609.327,18622.0474,32076.27755,29091.17265,320.26929,608,85.031,13488,30
225.1949983,621.6645,40821.91019,24784.32667,24261.46635,225.19599,620,100.1137,2799,15
167.0848301,641.155,24862.26356,23040.73662,15947.72667,167.0856,640,152.0629,22138,30
448.3046914,641.051,40545.603,37125.14667,29222.7705,448.30552,640,309.2588,4913,30
330.2625511,644.815,20705.23512,11316.83911,15568.01278,330.26316,644,85.0316,5939,30
512.3316915,652.401,278905.6537,319636.9805,50038.59265,512.33329,650,184.0734,19903,30
274.2729614,661.714,58522.61313,22329.6905,51159.10093,274.27407,660,256.2644,10217,30
318.2978695,669.42,60579.09329,48873.80143,49826.3324,318.29946,669,256.2635,30935,30
286.1376677,671.07,83900.46412,124338.7335,104119.7542,286.14365,669,201.0555,151886,30
377.2983667,676.969,43530.5835,28739.732,30033.12946,377.29824,676,359.2905,12940,15
430.3444562,676.969,69054.20679,47336.27325,45213.42488,430.34497,675,359.288,14480,30
426.3205174,676.986,75351.80722,44513.05217,41773.03806,426.32043,676,355.2632,25506,30
373.2719117,676.969,45485.75612,29931.16994,33050.77794,373.27246,676,355.2655,14543,15
342.2594669,678.5535,82423.21367,82049.12042,62518.10743,342.26317,687,85.0311,16395,30
287.1463505,671.07,46754.03571,37903.20867,37746.03278,287.1465,681,116.0591,1022,45
432.309869,689.039,17308.05967,103004.7578,116967.4942,432.30998,688,414.3004,178028,15
450.3171312,697.7665,183039.5627,190020.1729,196413.4335,450.3209,706,414.3016,72427,15
467.3468534,688.239,88006.00658,70913.0825,50685.18862,467.34632,688,414.3,35427,30
472.301145,688.712,69179.90953,43705.6613,108002.7959,472.30101,687,454.298,1923,30
511.3713872,688.239,52606.11622,34705.83529,33666.44207,511.37212,687,62.0642,1954,30
302.2138116,689.488,15366.04367,42570.06612,45167.1084,302.2149,688,285.1896,28984,15
536.3327149,690.659,42244.08567,26693.75843,19354.3863,536.33387,688,518.3254,5423,15
209.1164832,692.808,61750.17056,51172.87219,57218.02111,209.11629,692,153.0561,3913,15
251.1246947,692.832,99152.30858,80522.68072,61576.01917,251.12694,692,209.1185,136060,15
417.3189882,701.877,36166.76431,40128.58548,14831.05942,417.31868,691,209.1188,1843,15
440.2783123,691.192,28952.59917,60403.37793,56229.18,440.2761,690,184.0736,7941,30
286.1493489,681.2695,62576.77941,31782.633,30604.01167,286.14323,692,201.0548,56905,30
416.3134678,700.408,299159.3033,222980.644,220771.8072,416.31467,702,341.2885,1788,15
389.2689211,697.4575,31155.52714,32526.35243,31878.3335,389.2676,696,371.2561,2077,15
376.258795,701.057,54133.13684,58277.065,50333.2115,376.25885,701,302.1885,2296,30
456.329909,698.5945,19703.88711,22714.82383,20187.99969,456.32971,706,414.3031,881,30
414.2974239,706.821,181216.0305,107162.1671,48583.91448,414.29945,707,339.2725,3055,30
356.278415,710.157,206996.9306,87597.31575,179727.057,356.27881,709,85.0309,15742,30
388.3058665,710.144,73899.21363,31833.32126,62654.43316,388.3054,710,85.0315,3984,30
369.2819017,712.616,79407.32317,62937.42728,72932.03622,369.28267,712,85.0309,4941,30
344.2845189,712.611,121198.3838,79660.90189,122022.7458,344.27908,712,85.0309,36331,30
368.2774163,712.667,45811.12667,166006.4218,186472.6447,368.27889,712,85.0309,17725,30
378.2393017,725.773,56539.72676,49940.609,29197.935,378.2402,723,262.2542,14106,15
526.2615855,729.0625,47831.99982,55185.13272,51853.86194,526.26316,728,463.2335,8957,15
447.3098498,735.645,14205.65067,13092.0888,24042.01879,447.30917,735,411.2966,877,15
312.1583533,752.144,22027.25571,19645.63692,15332.61565,312.15919,752,227.0693,5116,15
347.1704686,743.1925,34271.67647,18091.06847,7546.730706,347.17086,742,185.0816,11348,15
369.1517781,743.276,58964.61774,40376.28724,49377,369.15078,743,309.1299,773,15
370.2932734,761.345,159767.1287,146501.3251,119123.5069,370.2951,761,85.0308,48339,30
288.2524292,752.968,30699.90084,25636.21412,16252.22606,288.25242,753,106.0879,2723,30
460.2670926,757.1345,39123.09917,24851.15595,19995.3,460.26922,756,415.2166,2126,15
476.2636544,757.068,43286.75253,37010.784,30100.00176,476.26348,756,415.2215,1090,15
415.2120967,757.094,40997.38667,39168.26356,51398.5815,415.21111,756,119.0868,11683,30
620.3630169,756.264,61700.30311,52546.5615,51117.97195,620.36317,756,567.3204,755,15
302.3058377,757.094,42535.92694,48855.77317,24300.52929,302.30544,756,284.2953,3769,30
